2025-06-01T21:37:15.713+05:30 INFO  [ebook-app] [SpringApplicationShutdownHook] o.s.b.w.embedded.tomcat.GracefulShutdown:54 : Commencing graceful shutdown. Waiting for active requests to complete
2025-06-01T21:37:15.762+05:30 INFO  [ebook-app] [tomcat-shutdown] o.s.b.w.embedded.tomcat.GracefulShutdown:76 : Graceful shutdown complete
2025-06-01T21:37:33.050+05:30 INFO  [ebook-app] [scheduling-1] c.a.s.e.service.impl.SqsConsumerService:39 : Received 0 messages from SQS queue
2025-06-01T21:37:54.085+05:30 INFO  [ebook-app] [main] com.aws.spring.ebook.EbookApplication:53 : Starting EbookApplication using Java 17.0.11 with PID 12628 (C:\Users\sanja\sts-workplace\springboot-aws-ebook\target\classes started by sanja in C:\Users\sanja\sts-workplace\springboot-aws-ebook)
2025-06-01T21:37:54.089+05:30 INFO  [ebook-app] [main] com.aws.spring.ebook.EbookApplication:652 : No active profile set, falling back to 1 default profile: "default"
2025-06-01T21:37:56.096+05:30 INFO  [ebook-app] [main] o.s.b.w.embedded.tomcat.TomcatWebServer:111 : Tomcat initialized with port 8080 (http)
2025-06-01T21:37:56.114+05:30 INFO  [ebook-app] [main] o.apache.coyote.http11.Http11NioProtocol:173 : Initializing ProtocolHandler ["http-nio-8080"]
2025-06-01T21:37:56.118+05:30 INFO  [ebook-app] [main] o.apache.catalina.core.StandardService:173 : Starting service [Tomcat]
2025-06-01T21:37:56.118+05:30 INFO  [ebook-app] [main] org.apache.catalina.core.StandardEngine:173 : Starting Servlet engine: [Apache Tomcat/10.1.33]
2025-06-01T21:37:56.247+05:30 INFO  [ebook-app] [main] o.a.c.c.C.[.[localhost].[/ebookservice]:173 : Initializing Spring embedded WebApplicationContext
2025-06-01T21:37:56.249+05:30 INFO  [ebook-app] [main] o.s.b.w.s.c.ServletWebServerApplicationContext:296 : Root WebApplicationContext: initialization completed in 2081 ms
2025-06-01T21:37:58.362+05:30 INFO  [ebook-app] [main] o.apache.coyote.http11.Http11NioProtocol:173 : Starting ProtocolHandler ["http-nio-8080"]
2025-06-01T21:37:58.398+05:30 INFO  [ebook-app] [main] o.s.b.w.embedded.tomcat.TomcatWebServer:243 : Tomcat started on port 8080 (http) with context path '/ebookservice'
2025-06-01T21:37:58.416+05:30 INFO  [ebook-app] [main] com.aws.spring.ebook.EbookApplication:59 : Started EbookApplication in 5.122 seconds (process running for 6.004)
2025-06-01T21:38:19.782+05:30 INFO  [ebook-app] [scheduling-1] c.a.s.e.service.impl.SqsConsumerService:39 : Received 0 messages from SQS queue
2025-06-01T21:38:31.216+05:30 INFO  [ebook-app] [http-nio-8080-exec-3] o.a.c.c.C.[.[localhost].[/ebookservice]:173 : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-06-01T21:38:31.216+05:30 INFO  [ebook-app] [http-nio-8080-exec-3] o.s.web.servlet.DispatcherServlet:532 : Initializing Servlet 'dispatcherServlet'
2025-06-01T21:38:31.218+05:30 INFO  [ebook-app] [http-nio-8080-exec-3] o.s.web.servlet.DispatcherServlet:554 : Completed initialization in 2 ms
2025-06-01T21:38:40.068+05:30 INFO  [ebook-app] [scheduling-1] c.a.s.e.service.impl.SqsConsumerService:39 : Received 0 messages from SQS queue
2025-06-01T21:39:00.404+05:30 INFO  [ebook-app] [scheduling-1] c.a.s.e.service.impl.SqsConsumerService:39 : Received 0 messages from SQS queue
2025-06-01T21:39:20.742+05:30 INFO  [ebook-app] [scheduling-1] c.a.s.e.service.impl.SqsConsumerService:39 : Received 0 messages from SQS queue
2025-06-01T21:39:41.070+05:30 INFO  [ebook-app] [scheduling-1] c.a.s.e.service.impl.SqsConsumerService:39 : Received 0 messages from SQS queue
2025-06-01T21:40:01.392+05:30 INFO  [ebook-app] [scheduling-1] c.a.s.e.service.impl.SqsConsumerService:39 : Received 0 messages from SQS queue
2025-06-01T21:40:18.545+05:30 INFO  [ebook-app] [SpringApplicationShutdownHook] o.s.b.w.embedded.tomcat.GracefulShutdown:54 : Commencing graceful shutdown. Waiting for active requests to complete
2025-06-01T21:40:18.592+05:30 INFO  [ebook-app] [tomcat-shutdown] o.s.b.w.embedded.tomcat.GracefulShutdown:76 : Graceful shutdown complete
2025-06-01T21:40:21.689+05:30 INFO  [ebook-app] [scheduling-1] c.a.s.e.service.impl.SqsConsumerService:39 : Received 0 messages from SQS queue
2025-06-01T21:41:06.667+05:30 INFO  [ebook-app] [main] com.aws.spring.ebook.EbookApplication:53 : Starting EbookApplication using Java 17.0.11 with PID 8516 (C:\Users\sanja\sts-workplace\springboot-aws-ebook\target\classes started by sanja in C:\Users\sanja\sts-workplace\springboot-aws-ebook)
2025-06-01T21:41:06.673+05:30 INFO  [ebook-app] [main] com.aws.spring.ebook.EbookApplication:652 : No active profile set, falling back to 1 default profile: "default"
2025-06-01T21:41:08.636+05:30 INFO  [ebook-app] [main] o.s.b.w.embedded.tomcat.TomcatWebServer:111 : Tomcat initialized with port 8080 (http)
2025-06-01T21:41:08.651+05:30 INFO  [ebook-app] [main] o.apache.coyote.http11.Http11NioProtocol:173 : Initializing ProtocolHandler ["http-nio-8080"]
2025-06-01T21:41:08.656+05:30 INFO  [ebook-app] [main] o.apache.catalina.core.StandardService:173 : Starting service [Tomcat]
2025-06-01T21:41:08.657+05:30 INFO  [ebook-app] [main] org.apache.catalina.core.StandardEngine:173 : Starting Servlet engine: [Apache Tomcat/10.1.33]
2025-06-01T21:41:08.798+05:30 INFO  [ebook-app] [main] o.a.c.c.C.[.[localhost].[/ebookservice]:173 : Initializing Spring embedded WebApplicationContext
2025-06-01T21:41:08.800+05:30 INFO  [ebook-app] [main] o.s.b.w.s.c.ServletWebServerApplicationContext:296 : Root WebApplicationContext: initialization completed in 2020 ms
2025-06-01T21:41:11.129+05:30 INFO  [ebook-app] [main] o.apache.coyote.http11.Http11NioProtocol:173 : Starting ProtocolHandler ["http-nio-8080"]
2025-06-01T21:41:11.161+05:30 INFO  [ebook-app] [main] o.s.b.w.embedded.tomcat.TomcatWebServer:243 : Tomcat started on port 8080 (http) with context path '/ebookservice'
2025-06-01T21:41:11.179+05:30 INFO  [ebook-app] [main] com.aws.spring.ebook.EbookApplication:59 : Started EbookApplication in 5.348 seconds (process running for 5.956)
2025-06-01T21:41:27.797+05:30 INFO  [ebook-app] [http-nio-8080-exec-1] o.a.c.c.C.[.[localhost].[/ebookservice]:173 : Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-06-01T21:41:27.797+05:30 INFO  [ebook-app] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet:532 : Initializing Servlet 'dispatcherServlet'
2025-06-01T21:41:27.798+05:30 INFO  [ebook-app] [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet:554 : Completed initialization in 1 ms
2025-06-01T21:41:32.666+05:30 INFO  [ebook-app] [scheduling-1] c.a.s.e.service.impl.SqsConsumerService:39 : Received 0 messages from SQS queue
2025-06-01T21:41:52.963+05:30 INFO  [ebook-app] [scheduling-1] c.a.s.e.service.impl.SqsConsumerService:39 : Received 0 messages from SQS queue
